"id","name","barcode","list_price","standard_price","categ_id","uom_id"
"__export__.product_template_8621_1b9db1b5"," C-RETARD 500MG 10/tab","","16.0","16.0","All / Medicine","Units"
"__export__.product_template_8622_96f9a113"," DANSET 4MG 1/AMP","","26.35","26.35","All / Medicine","Units"
"__export__.product_template_8623_848f7a02"," GLYCERIN SOAP","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8624_bd76a2cd"," GTN CREAM","","60.0","60.0","All / Medicine","Units"
"__export__.product_template_8625_40434720"," NECK collar hard  with SUPPORT","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8626_3144332f","%COLOSALZIN%","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8627_222d8abc","%ECTOH%","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8628_8414fdd2","%K","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8629_87f10cb1","%VITA%","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8630_6e99f159","***********IMMUNOMIDE 5MG 21/CAP","","6999.0","6999.0","All / Medicine","Units"
"__export__.product_template_8631_ed182a7c","123    20/TAB","","15.0","15.0","All / Medicine","Units"
"__export__.product_template_8632_478e1bce","8681241073392","","76.0","76.0","All / Medicine","Units"
"__export__.product_template_8633_c1edf396","A-VITONE 100MG 20CAPS","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_8634_29c46910","ABDOMINAL BELT","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8635_748160eb","ABDOMNINAL BELT","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8636_c0afed76","ABILIA 20MG 10/TAB","","40.0","40.0","All / Medicine","Units"
"__export__.product_template_8637_bc5b932c","ABILIFY 10MG 10/TAB","","176.5","176.5","All / Medicine","Units"
"__export__.product_template_8638_54070c88","ABILIFY 5MG 10/TAB","","107.5","107.5","All / Medicine","Units"
"__export__.product_template_8639_6d0cf160","ABIMOL 20/TAB","","8.0","8.0","All / Medicine","Units"
"__export__.product_template_8640_e38f3569","ABIMOL 300MG 5 SUPP","","4.5","4.5","All / Medicine","Units"
"__export__.product_template_8641_63d8f01b","ABIMOL EXTRA TAB","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_16564_b2aa668f","ABOVE KNEE STOCKING","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_13557_3bec13d2","ACCUACHECK GO  25/strip","","230.0","230.0","All / Medicine","Units"
"__export__.product_template_8642_9201a15d","ACCUCHECK ACTIVE 50/STRIP","","279.5","279.5","All / Medicine","Units"
"__export__.product_template_8643_60eda8b8","ACCUCHECK INSTANT 50/STRIPS","","279.5","279.5","All / Medicine","Units"
"__export__.product_template_8644_72f8d13a","ACCUCHECK PERFORMA 50/STRIP","","301.0","301.0","All / Medicine","Units"
"__export__.product_template_8645_b0910aef","ACERUMEN EAR DROPS","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_16565_1a33ba2a","ACETONE TEST STRIP","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8646_2a490c9b","ACETYLCECTEIN 200/MG 10/SACH","","14.0","14.0","All / Medicine","Units"
"__export__.product_template_8647_8e6479ce","ACETYLCECTEIN600/MG10/SACH","","30.0","30.0","All / Medicine","Units"
"__export__.product_template_13558_18fc1767","ACHTENON 2MG 20/TAB","","18.0","18.0","All / Medicine","Units"
"__export__.product_template_8648_54ec14bd","ACICONE   200ML/SUSP","","7.5","7.5","All / Medicine","Units"
"__export__.product_template_8649_c65c8a83","ACICONE-S     200ML/SUSP","","8.0","8.0","All / Medicine","Units"
"__export__.product_template_13559_88f0739b","ACICONE-S 24CHEW/ TAB","","6.5","6.5","All / Medicine","Units"
"__export__.product_template_8650_daa08908","ACITRETIN 25MG / 30TAB","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_13560_20bc8452","ACITRETIN CAPS 10 tab","","87.0","87.0","All / Medicine","Units"
"__export__.product_template_13561_deb10f49","ACIVIRAX TABS 800 MG 10 2","","62.0","62.0","All / Medicine","Units"
"__export__.product_template_8651_20bc66da","ACLASTA 5MG/100ML SOLN.","","1860.0","1860.0","All / Medicine","Units"
"__export__.product_template_8652_791581dc","ACNE  PRONE LOTION","","8.5","8.5","All / Medicine","Units"
"__export__.product_template_8653_8f68195d","ACNE BENZ GEL 1 30 1","","16.2","16.2","All / Medicine","Units"
"__export__.product_template_16677_7cc729b7","ACNE BIOTIC SOLUTION","","13.0","13.0","All / Medicine","Units"
"__export__.product_template_8654_7ff25d34","ACNE VERA SOAP","","15.0","15.0","All / Medicine","Units"
"__export__.product_template_8655_a3ab17ed","ACNE ZINC 20ml  LOTION","","8.5","8.5","All / Medicine","Units"
"__export__.product_template_8656_054d34ca","ACNE-FREE 30gm/ CREAM","","7.0","7.0","All / Medicine","Units"
"__export__.product_template_8657_030300de","ACNE-FREE JEL. 0.02 % 1 30 1","","5.9","5.9","All / Medicine","Units"
"__export__.product_template_8658_968965fd","ACNE-STOP CREAM","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8659_618a81c0","ACNESCAVE GEL GEL 0.1 % 1 30 1","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_8660_54743ced","ACNETIN-A CREAM 0.05 % 1 30 1","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_8661_20336243","ACNETIN-A GEL 2.5 % 1 30 1","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_8662_1d2eabc8","ACNETIN-A LOTION 0.05 % 1 15 1","","6.0","6.0","All / Medicine","Units"
"__export__.product_template_8663_1cced72a","ACNETROX CREAM 1 % 1 25 1","","24.0","24.0","All / Medicine","Units"
"__export__.product_template_8664_5055b9e8","ACNI-CARE GEL 2 % 1 20 1","","6.5","6.5","All / Medicine","Units"
"__export__.product_template_8665_3e9e1a56","ACNI-CARE LOTION 2 % 1 25 1","","8.0","8.0","All / Medicine","Units"
"__export__.product_template_8666_27a08cd4","ACNIACT GEL 15 GM","","20.0","20.0","All / Medicine","Units"
"__export__.product_template_8667_703e59dc","ACNIDU GEL 1","","16.2","16.2","All / Medicine","Units"
"__export__.product_template_8668_3bbcd4a1","ACNIMED GEL","","295.0","295.0","All / Medicine","Units"
"__export__.product_template_8669_fcf70812","ACNITAZ GEL 0.1 % 1 15 1","","14.4","14.4","All / Medicine","Units"
"__export__.product_template_8670_6c6ace10","ACRETIN CREAM 0.025 % 1 30 1","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_8671_6748cf5a","ACRETIN CREAM 0.05 % 1 30 1","","10.0","10.0","All / Medicine","Units"
"__export__.product_template_8672_1b77f71c","ACTEMRA  200MG/10ML VIAL","","2362.0","2362.0","All / Medicine","Units"
"__export__.product_template_8673_2e5e98f7","ACTEMRA  400MG/20ML VIAL","","4684.0","4684.0","All / Medicine","Units"
"__export__.product_template_8674_e3c865fe","ACTEMRA  80MG/4ML VIAL","","954.0","954.0","All / Medicine","Units"
"__export__.product_template_8675_e4a66d42","ACTEOL OINT","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_16678_9b184c44","ACTI 5 SYRUP 1 120 1","","7.0","7.0","All / Medicine","Units"
"__export__.product_template_8676_bbfd2267","ACTICOLLA  10/SACHETS","","130.0","130.0","All / Medicine","Units"
"__export__.product_template_13562_8573a22d","ACTIFAST FILM C.TABS 50 MG 10 3","","14.25","14.25","All / Medicine","Units"
"__export__.product_template_8677_4ec5b11e","ACTIFAST SACHETS 50 MG 6 2 1","","9.5","9.5","All / Medicine","Units"
"__export__.product_template_13563_2d6be232","ACTIFAST TABS 12.5 MG 2","","8.5","8.5","All / Medicine","Units"
"__export__.product_template_8678_a40b2796","ACTIFED 10/TAB","","5.0","5.0","All / Medicine","Units"
"__export__.product_template_8679_121ce54c","ACTIFED EXP /SYRUP","","6.25","6.25","All / Medicine","Units"
"__export__.product_template_16679_3a8d49af","ACTIFED SYRUP 1 120 1","","5.5","5.5","All / Medicine","Units"
"__export__.product_template_8680_0307eca2","ACTIMAR 50/CAP","","31.0","31.0","All / Medicine","Units"
"__export__.product_template_13564_3087bc69","ACTIVATE 200 40/tab","","26.0","26.0","All / Medicine","Units"
"__export__.product_template_13565_7b7762fd","ACTIVELLE TABS 1","","34.8","34.800000000000004","All / Medicine","Units"
"__export__.product_template_13566_e31f4915","ACTIVENT SR CAPS S.R 8 MG 1","","13.2","13.200000000000001","All / Medicine","Units"
"__export__.product_template_13567_37448015","ACTNOW CAPS 1","","30.0","30.0","All / Medicine","Units"
"__export__.product_template_8681_b810a741","ACTO-C SPRAY","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8682_f46b8936","ACTOFLEX GEL 3 % 1 25 1","","6.5","6.5","All / Medicine","Units"
"__export__.product_template_8683_2c459444","ACTONEL 35/MG 2/TAB","","121.5","121.5","All / Medicine","Units"
"__export__.product_template_8684_d56e6aed","ACTONEL 5MG 14/TAB","","80.0","80.0","All / Medicine","Units"
"__export__.product_template_8685_f9a6f1ad","ACTOS 15MG 30/TAB","","154.0","154.0","All / Medicine","Units"
"__export__.product_template_8686_f6ac1f1f","ACTOS 30MG 30/TAB","","210.0","210.0","All / Medicine","Units"
"__export__.product_template_8687_78ebb5bd","ACTRAPID 100IU 1/VIAL","","38.0","38.0","All / Medicine","Units"
"__export__.product_template_8688_7acf112e","ACTRIAZOLE 200MG 7/CAP","","31.0","31.0","All / Medicine","Units"
"__export__.product_template_8689_5b4704e3","ACULAR EYE DROPS","","27.6","27.6","All / Medicine","Units"
"__export__.product_template_8690_cf4e9c5e","ACULAR EYE DROPS LS 0.4 % 1 5 1","","27.6","27.6","All / Medicine","Units"
"__export__.product_template_8691_c46c5609","ACUPAN A.IM 20 MG 3 2 1","","7.1","7.1000000000000005","All / Medicine","Units"
"__export__.product_template_13568_ceb1b0f8","ACUPAN FILM C.TABS 30 MG 20 1","","5.0","5.0","All / Medicine","Units"
"__export__.product_template_8692_848434c5","ACYCLOSTAD CREAM 50 MG  G 1 10 1","","6.5","6.5","All / Medicine","Units"
"__export__.product_template_8693_e5c8f230","ACYCLOVIR  TOPICAL /CREAM","","9.5","9.5","All / Medicine","Units"
"__export__.product_template_8694_12b641f1","ACYCLOVIR 200 MG  20/TAB","","13.5","13.5","All / Medicine","Units"
"__export__.product_template_8695_376c0042","ACYCLOVIR 800  STADA 35/TAB","","144.0","144.0","All / Medicine","Units"
"__export__.product_template_8696_d8e6a5ab","ACYCLOVIR EYE /OINTMENT","","3.75","3.75","All / Medicine","Units"
"__export__.product_template_13569_a1e9be9c","ACYCLOVIR STADA  400 MG  35/TAB","","78.25","78.25","All / Medicine","Units"
"__export__.product_template_13570_fe7ba9de","ACYCLOVIR STADA TABS 400 MG  35/TAB","","104.0","104.0","All / Medicine","Units"
"__export__.product_template_13571_f4231bfe","ACYCLOVIR STADA TABS 400 MG 5 7","","74.25","74.25","All / Medicine","Units"
"__export__.product_template_8697_e3c090c4","AD-MUC OINT 1 10 G 1","","11.0","11.0","All / Medicine","Units"
"__export__.product_template_8698_f62c2c22","ADAGEL GEL 0.1 % 1 30 1","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_8699_6fa1e063","ADALAT 30/MG 30/TAB","","67.5","67.5","All / Medicine","Units"
"__export__.product_template_13572_f9e818bc","ADAMINE CAPS 100 MG 1","","7.0","7.0","All / Medicine","Units"
"__export__.product_template_13573_878c1fc2","ADANCOR 10MG 30TAB","","69.0","69.0","All / Medicine","Units"
"__export__.product_template_13574_4d4d97d6","ADANCOR 20MG 30TAB","","118.0","118.0","All / Medicine","Units"
"__export__.product_template_8700_bdcb57b2","ADANOID GEL 0.1 % 1 30 1","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_8701_14548915","ADAPALENE GEL 30GM","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_13575_b46bf197","ADAPTAN SOFT GEL.CAP 300 MG 10 1","","21.6","21.6","All / Medicine","Units"
"__export__.product_template_13576_30ae57c8","ADAPTAN SOFT GEL.CAP 400 MG 10 1","","31.2","31.2","All / Medicine","Units"
"__export__.product_template_8702_ff24dd3b","ADCOCETINE OINT 1 % 1 15 1","","3.8","3.8000000000000003","All / Medicine","Units"
"__export__.product_template_8703_13478c8a","ADCOCYCLINE OINT 3 % 1 15 1","","4.8","4.8","All / Medicine","Units"
"__export__.product_template_8704_5ca4ee3f","ADCOFORM OINT 1 15 1","","3.3","3.3000000000000003","All / Medicine","Units"
"__export__.product_template_12949_3dd760a7","ADCOKION AMP. 10 MG 1","","9.5","9.5","All / Medicine","Units"
"__export__.product_template_13577_70b7a3d7","ADCOKION TABS CHEW 10 MG 2","","14.0","14.0","All / Medicine","Units"
"__export__.product_template_8705_ade55f0f","ADCOMEXEYE DROPS","","3.75","3.75","All / Medicine","Units"
"__export__.product_template_8706_0e83639f","ADCOZOLE CREAM 1 15 1","","4.7","4.7","All / Medicine","Units"
"__export__.product_template_12950_931b9df3","ADDAMEL AMPOULE N IV 20","","266.0","266.0","All / Medicine","Units"
"__export__.product_template_13578_3cd4fac4","ADENO B6 FILM C.TABS 20 1","","14.4","14.4","All / Medicine","Units"
"__export__.product_template_12951_b7ea31f7","ADENOCORTIN AMP","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_16566_0855aa3e","ADHESIVE ELASIC BANDAGE 7CM","","50.0","50.0","All / Medicine","Units"
"__export__.product_template_16567_8e113c39","ADHESIVE ELASTIC PLASTER 11CM","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8707_5f6fe7ff","ADHESIVE ELASTIC plaster 10CM","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8708_a587d67e","ADHESIVE ELASTIC plaster 4CM","","26.0","26.0","All / Medicine","Units"
"__export__.product_template_16568_c32e6e5b","ADHESIVE SURGICAL DRESSING  10*25cm","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8709_cc8a37dd","ADNACOR","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_13579_4bbd82d5","ADOL  500 MG 24/TAB","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_8710_888a9480","ADOL EXTRA     20 TAB","","16.5","16.5","All / Medicine","Units"
"__export__.product_template_8711_27a3aa14","ADOL EXTRA 20 TAB","","16.5","16.5","All / Medicine","Units"
"__export__.product_template_12952_74b2450a","ADOLOR 15mg 3/amp","","7.5","7.5","All / Medicine","Units"
"__export__.product_template_12953_360f589b","ADOLOR 30mg 3/amp","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_12954_f623ed1e","ADRENALINE AMP. 1","","24.0","24.0","All / Medicine","Units"
"__export__.product_template_12955_9d47a86a","ADRENALINE AMP. 1 MG 100","","206.0","206.0","All / Medicine","Units"
"__export__.product_template_12956_52b04b88","ADRENAMAX AMP. 1 1ML 10","","26.0","26.0","All / Medicine","Units"
"__export__.product_template_8712_3944875e","ADRENOCORTINE 1MG/ML IM AMP","","45.0","45.0","All / Medicine","Units"
"__export__.product_template_13272_5dc3a7cc","ADRICIN V.IV 10 MG 1 5 1","","32.4","32.4","All / Medicine","Units"
"__export__.product_template_8713_e45a5186","ADRICIN V.IV INFUS. 10 MG 1","","32.4","32.4","All / Medicine","Units"
"__export__.product_template_16569_1380e08c","ADULT DIABERS","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_13580_baac59a8","ADVANCRIB FILM C.TABS 400 MG 5 1","","31.2","31.2","All / Medicine","Units"
"__export__.product_template_8714_68015d7c","ADVOCHOL 10MG 14/TAB","","50.0","50.0","All / Medicine","Units"
"__export__.product_template_8715_c9dc114f","ADVOCHOL 10MG 28 TAB","","100.0","100.0","All / Medicine","Units"
"__export__.product_template_8716_d44ba8ca","ADVOMIKACIN 500 MG VIAL","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_12957_dde23bae","ADWIFLAM A.IM 75 MG 1 AMP (3ML) 6","","19.5","19.5","All / Medicine","Units"
"__export__.product_template_13581_b0d4a1fb","ADWIFLAM CAPS E.R 50 MG 10 CAP 2","","13.0","13.0","All / Medicine","Units"
"__export__.product_template_8717_ebfdba43","ADWIFLAM EMULGEL 1 50 1","","15.6","15.6","All / Medicine","Units"
"__export__.product_template_8718_a4dea7c4","ADWIFLAM SACH.GRANUL 50 MG 10 SACHT (2GM) 1","","15.0","15.0","All / Medicine","Units"
"__export__.product_template_8719_c740396e","ADWIFLAM SUPP 12.5 MG 5 1","","5.0","5.0","All / Medicine","Units"
"__export__.product_template_8720_1d99809a","ADWIFLAM SUPP 25 MG 5 1","","5.25","5.25","All / Medicine","Units"
"__export__.product_template_8721_430d7da3","ADWIFLAM SUPP 75 MG 5 1","","6.75","6.75","All / Medicine","Units"
"__export__.product_template_8722_47ac7c10","ADWIMOVE GEL 1 50 GM 1","","21.0","21.0","All / Medicine","Units"
"__export__.product_template_13582_25deb5e2","ADWINERVE CAPS 500 Y 1","","8.0","8.0","All / Medicine","Units"
"__export__.product_template_13583_73670efa","ADWINERVE PLUS CAPS 1","","8.5","8.5","All / Medicine","Units"
"__export__.product_template_8723_af64dae3","ADWIPRAZOLE 10/MG 30/TAB","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8724_26ac117b","ADWIPRIL  2MG10/TAB","","10.0","10.0","All / Medicine","Units"
"__export__.product_template_13584_0ba15caa","ADWIPRIL 4MG  30/TAB","","45.0","45.0","All / Medicine","Units"
"__export__.product_template_13585_5446e57f","ADWISOMN SOFT GEL.CAP 1","","7.3","7.3","All / Medicine","Units"
"__export__.product_template_8725_1ad4e0bc","ADWITINE 30MG CAP","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_13586_d9559a14","ADWIVALSAR C.TAB 160 MG 10 3","","57.0","57.0","All / Medicine","Units"
"__export__.product_template_13587_2afa192a","AERIUS 5MG 20/TAB","","77.0","77.0","All / Medicine","Units"
"__export__.product_template_12958_c2f122ec","AEROTROPA 10/AMP INH","","35.0","35.0","All / Medicine","Units"
"__export__.product_template_12959_938e6b64","AETHOXYSKLEROL 2% 5/AMP","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8726_513fa58f","AFRIN ADULT 0.5MG EYE DROPS","","5.0","5.0","All / Medicine","Units"
"__export__.product_template_8727_b4133e71","AFRIN NOSE DROPS 0.025 % PAED 1 10 1","","3.8","3.8000000000000003","All / Medicine","Units"
"__export__.product_template_8728_fe59ba96","AFTAMED MOUTH WASH","","86.0","86.0","All / Medicine","Units"
"__export__.product_template_8729_3eac2a8d","AFTAMED ORAL GEL","","64.0","64.0","All / Medicine","Units"
"__export__.product_template_8730_f8021646","AFTAMED ORAL SPRAY","","86.0","86.0","All / Medicine","Units"
"__export__.product_template_13588_ddf64721","AFTER-MEALS 20/CAP","","30.0","30.0","All / Medicine","Units"
"__export__.product_template_8731_4d711d76","AGERA 50G CREAM","","49.0","49.0","All / Medicine","Units"
"__export__.product_template_13589_1a152567","AGGREX 75 MG60/tab","","18.0","18.0","All / Medicine","Units"
"__export__.product_template_13590_dbdd6811","AGGREX TABS 250 MG 1","","6.0","6.0","All / Medicine","Units"
"__export__.product_template_8732_c83b5ef5","AGIOLAX    12/ SACHETS","","21.0","21.0","All / Medicine","Units"
"__export__.product_template_13591_0864cca3","AGRELOCIT 50MGTABLETS 2","","34.8","34.800000000000004","All / Medicine","Units"
"__export__.product_template_8733_45773c9b","AIMOVIG 70 MG\ML S.C. PREFILLED PEN","","8477.0","8477.0","All / Medicine","Units"
"__export__.product_template_8734_f5fe013c","AIRONYL  2.5 MG 20/TAB","","6.0","6.0","All / Medicine","Units"
"__export__.product_template_8735_9964a568","AIRONYL SYR","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_8736_7256446c","AKITA 50GM GEL","","30.0","30.0","All / Medicine","Units"
"__export__.product_template_8737_1c284d77","AKNAPALEN GEL 0.1 % 1 25 1","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_8738_5efa5db8","AKNEMYCIN 2% OINTMENT","","5.0","5.0","All / Medicine","Units"
"__export__.product_template_8739_cea9e1cb","AKNEMYCIN 2% SOLUTION","","9.0","9.0","All / Medicine","Units"
"__export__.product_template_8740_31225e44","AKNEROXID-5 JEL","","4.3","4.3","All / Medicine","Units"
"__export__.product_template_8741_cb7d500d","AKREN CREAM","","50.0","50.0","All / Medicine","Units"
"__export__.product_template_12960_e2dd0f8e","ALAMBUPHINE AMP. 20 MG   2 ML 1 5","","44.75","44.75","All / Medicine","Units"
"__export__.product_template_8742_cd3c3470","ALBENDAZOLE SUSP 200 MG  5ML 1 30 1","","6.5","6.5","All / Medicine","Units"
"__export__.product_template_8743_8c5fffe5","ALBOTHYL 90MG VAGINAL SUPP","","20.0","20.0","All / Medicine","Units"
"__export__.product_template_8744_911670c4","ALBOTHYL JEL. VAG.","","16.8","16.8","All / Medicine","Units"
"__export__.product_template_13592_df862e24","ALBUSTIX TABS 8 MG /30 TAB","","33.0","33.0","All / Medicine","Units"
"__export__.product_template_13593_3ba615b0","ALBUSTIX-D TABS 16MG  12.5 MG 30(STRIP OF 10 TAB) 3","","60.0","60.0","All / Medicine","Units"
"__export__.product_template_13594_a2c9a504","ALBUSTIX-D TABS 16MG / 12.5 MG/ 30 TAB","","60.0","60.0","All / Medicine","Units"
"__export__.product_template_13595_90188d34","ALBUSTIX-D TABS 32MG/  12.5 MG 30 TAB","","87.0","87.0","All / Medicine","Units"
"__export__.product_template_13596_f1bd8261","ALBUSTIX-D TABS 32MG12.5 MG 30 (STRIP OF 10 TAB) 3","","87.0","87.0","All / Medicine","Units"
"__export__.product_template_13597_a0f40e89","ALCOFAN CAPS 25 MG 1","","4.5","4.5","All / Medicine","Units"
"__export__.product_template_8745_5892241b","ALCOFAN JEL. 2.5 % 1 30 1","","5.5","5.5","All / Medicine","Units"
"__export__.product_template_8746_63f80657","ALCOFAN SUPP 100 MG 1","","4.5","4.5","All / Medicine","Units"
"__export__.product_template_13598_5d54540e","ALCOFAN TABS 25 MG (STRIP OF 10 TAB) 2","","8.0","8.0","All / Medicine","Units"
"__export__.product_template_13599_068dc188","ALDACTAZID 20/TAB","","5.9","5.9","All / Medicine","Units"
"__export__.product_template_8747_6f72095b","ALDARA CREAM","","0.0","0.0","All / Medicine","Units"
"__export__.product_template_13600_b743a3c1","ALDOMET 250MG 30/TAB","","39.0","39.0","All / Medicine","Units"
"__export__.product_template_13601_0594dc2c","ALEMOX C.TAB 1 G 1","","12.6","12.6","All / Medicine","Units"
"__export__.product_template_13602_7b2714bf","ALEMOX C.TAB 1 G 2","","14.5","14.5","All / Medicine","Units"
"__export__.product_template_13603_d4332021","ALEMOX C.TAB 750 MG 1","","10.5","10.5","All / Medicine","Units"
"__export__.product_template_13604_89796f8e","ALEMOX C.TAB 750 MG 2","","12.5","12.5","All / Medicine","Units"
"__export__.product_template_13605_fda6de13","ALENDEX TABS 10 MG 1","","28.8","28.8","All / Medicine","Units"
"__export__.product_template_13606_a99d1f0c","ALENDEX TABS 40 MG 1","","33.6","33.6","All / Medicine","Units"
"__export__.product_template_13607_f048d47f","ALENDOMAX PLUS TABS 1","","33.6","33.6","All / Medicine","Units"
"__export__.product_template_16680_239ee94d","ALERGAWAY SYRUP 0.5 MG  ML 1 120 1","","8.0","8.0","All / Medicine","Units"
"__export__.product_template_13608_a5947ba9","ALERGAWAY TABS DISINTE 5 MG 1","","24.0","24.0","All / Medicine","Units"
"__export__.product_template_8748_f6f2bd46","ALERGOLIBER 20TAB","","50.0","50.0","All / Medicine","Units"
"__export__.product_template_13609_3ecacc21","ALERID10 MG20/tab","","16.0","16.0","All / Medicine","Units"
"__export__.product_template_13610_efc9a98e","ALERTAM 120 MG 10/ tab","","8.5","8.5","All / Medicine","Units"
"__export__.product_template_13611_d7c784f0","ALERTAM 180MG10/tab","","16.8","16.8","All / Medicine","Units"
"__export__.product_template_13612_3d9d5f7c","ALERTAM 60MG20/tab","","12.0","12.0","All / Medicine","Units"
"__export__.product_template_8749_38fdc265","ALEXGENTA CREAM 0.001 G  G 1 15 1","","4.8","4.8","All / Medicine","Units"
"__export__.product_template_13613_cbd3af34","ALEXODIAB TABS 1000 MG STRIP 10 TABS 3","","13.5","13.5","All / Medicine","Units"
"__export__.product_template_13614_e5137470","ALEXOPRIN TABS 75 MG PAED 1","","0.8","0.8","All / Medicine","Units"
